" Siege of Berlin"

Attacker,Georgian_Kingdom
Defender,Greenland
Winner,Nobody

Participant Logs,,,,,,Kill Logs,,,,,
Player,Damage,Kills,Deaths,KDR,,Time (h),Killer Side,Killer,Victim,Location
icrft,2621.83,2,4,0.50,,2,Greenland,Ruzmarin,MDJayy,"(2729.32, 51.65, -10716.30)"
Sluys,2546.07,7,3,2.33,,2,Greenland,Ruzmarin,Offlined,"(2733.52, 51.15, -10720.61)"
toushen,2540.47,4,3,1.33,,2,Greenland,_Hank_Schrader,NjMcr,"(2737.79, 24.00, -10729.45)"
lukinhaseuro,2530.75,7,7,1.00,,2,Georgian_Kingdom,Nekometa13,MES0P0TAMIA,"(2748.36, 52.11, -10719.70)"
MES0P0TAMIA,2347.05,3,8,0.38,,2,Georgian_Kingdom,mexican_dong,BlackeN__,"(2728.05, 44.00, -10717.70)"
Chrqssy,2344.30,8,3,2.67,,2,Georgian_Kingdom,RinneganPT,IzPwoj,"(2729.30, 51.97, -10718.70)"
Teagled,2290.97,5,3,1.67,,2,Greenland,Cubanned,Lostnation,"(2733.56, 22.00, -10720.30)"
"#Arrow",2260.60,2,0,2.00,,2,Georgian_Kingdom,mexican_dong,Reerr,"(2729.70, 48.34, -10718.70)"
Missense,2134.09,3,4,0.75,,2,Greenland,Ruzmarin,vCammy,"(2740.79, 24.85, -10721.33)"
mervster,2017.95,3,6,0.50,,2,Greenland,Xavlummea,Offlined,"(2738.54, 24.89, -10734.61)"
aree,2000.26,1,4,0.25,,2,Greenland,Ruzmarin,Pupunan,"(2766.36, 24.12, -10721.53)"
PabloCuteAsf,1950.09,2,0,2.00,,2,Greenland,TLCarnas,Barters,"(2766.30, 24.00, -10721.30)"
N4p0l30n,1931.43,5,6,0.83,,2,Greenland,TiCTaCPoWer,MDJayy,"(2759.30, 25.00, -10722.59)"
Gnff,1850.15,5,3,1.67,,2,Greenland,TiCTaCPoWer,NjMcr,"(2762.75, 24.00, -10721.30)"
K4ppah,1823.66,3,3,1.00,,2,Greenland,Ruzmarin,Lostnation,"(2759.30, 24.12, -10721.30)"
PaysafeDoVSKI,1705.97,2,3,0.67,,2,Greenland,MES0P0TAMIA,xKotaro,"(2760.03, 24.00, -10721.30)"
_ThatKid,1677.10,4,7,0.57,,2,Greenland,TLCarnas,Darrobb,"(2752.87, 25.70, -10722.69)"
TheRealJewy,1617.87,0,4,0.00,,2,Greenland,kalkapat,RinneganPT,"(2749.36, 25.47, -10722.70)"
mexican_dong,1610.90,3,3,1.00,,2,Greenland,IzPwoj,Nekometa13,"(2739.11, 24.00, -10734.61)"
vCammy,1610.23,5,3,1.67,,2,Greenland,TLCarnas,mexican_dong,"(2737.30, 24.00, -10723.24)"
mucleck,1580.79,2,8,0.25,,2,Georgian_Kingdom,Nekometa13,MES0P0TAMIA,"(2721.30, 59.00, -10702.31)"
"#Ender pearl",1511.53,0,0,0.00,,2,Greenland,TLCFoxer,Avenqing,"(2779.63, 63.00, -10747.03)"
kukuzavrik,1385.86,1,4,0.25,,2,Georgian_Kingdom,Pupunan,PatrickD2109,"(2723.61, 60.00, -10716.33)"
C4SHB4G,1283.83,2,5,0.40,,2,Georgian_Kingdom,Pupunan,IzPwoj,"(2769.84, 65.00, -10799.60)"
"#Poison",1263.35,0,0,0.00,,2,Georgian_Kingdom,K4ppah,Ruzmarin,"(2718.36, 64.05, -10715.60)"
Garama,1214.50,4,2,2.00,,2,Greenland,BlackeN__,Darrobb,"(2658.06, 63.12, -10669.75)"
Avenqing,1189.04,0,3,0.00,,2,Greenland,TiCTaCPoWer,NjMcr,"(2725.25, 63.00, -10736.15)"
